fly_id,bin_start,genotype,sex,treatment,MT_sum,Pn_var,bin_index,state,state_label
M13_09_25_25_Ch27,2025-09-27 05:30:00,SSS,Male,VEH,0.0,0.0,246,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:35:00,SSS,Male,VEH,0.0,0.0,247,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:40:00,SSS,Male,VEH,0.0,0.0,248,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:45:00,SSS,Male,VEH,0.0,0.0,249,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:50:00,SSS,Male,VEH,0.0,0.0,250,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:55:00,SSS,Male,VEH,0.0,0.0,251,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:00:00,SSS,Male,VEH,0.0,0.0,252,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:05:00,SSS,Male,VEH,0.0,0.0,253,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:10:00,SSS,Male,VEH,0.0,0.0,254,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:15:00,SSS,Male,VEH,0.0,0.0,255,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:20:00,SSS,Male,VEH,0.0,0.0,256,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:25:00,SSS,Male,VEH,0.0,0.0,257,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:30:00,SSS,Male,VEH,0.0,0.0,258,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:35:00,SSS,Male,VEH,0.0,0.0,259,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:40:00,SSS,Male,VEH,0.0,0.0,260,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:45:00,SSS,Male,VEH,0.0,0.0,261,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:50:00,SSS,Male,VEH,0.0,0.0,262,1,Declining
M13_09_25_25_Ch27,2025-09-27 06:55:00,SSS,Male,VEH,0.0,0.0,263,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:00:00,SSS,Male,VEH,0.0,0.0,264,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:05:00,SSS,Male,VEH,0.0,0.0,265,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:10:00,SSS,Male,VEH,0.0,0.0,266,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:15:00,SSS,Male,VEH,0.0,0.0,267,1,Declining
